'sample interval','V5','V2'
287,-0.230,0.235
288,-0.245,0.210
289,-0.250,0.205
290,-0.250,0.195
291,-0.255,0.215
292,-0.250,0.220
293,-0.245,0.220
294,-0.260,0.200
295,-0.250,0.200
296,-0.280,0.205
297,-0.260,0.210
298,-0.255,0.215
299,-0.255,0.220
300,-0.255,0.220
301,-0.250,0.215
302,-0.270,0.195
303,-0.260,0.215
304,-0.255,0.225
305,-0.240,0.225
306,-0.235,0.220
307,-0.230,0.215
308,-0.210,0.215
309,-0.205,0.230
310,-0.135,0.245
311,-0.040,0.275
312,0.205,0.315
313,0.630,0.415
314,0.845,0.695
315,0.630,1.000
316,0.260,0.980
317,0.060,0.710
318,0.045,0.495
319,0.050,0.420
320,0.030,0.415
321,0.005,0.410
322,-0.010,0.380
323,-0.040,0.370
324,-0.035,0.365
325,-0.040,0.340
326,-0.050,0.320
327,-0.045,0.320
328,-0.060,0.310
329,-0.055,0.280
330,-0.070,0.255
331,-0.090,0.210
332,-0.115,0.200
333,-0.120,0.185
334,-0.130,0.190
335,-0.135,0.160
336,-0.170,0.145
337,-0.220,0.120
338,-0.265,0.105
339,-0.300,0.090
340,-0.330,0.080
341,-0.350,0.045
342,-0.400,0.030
343,-0.465,0.000
344,-0.565,-0.015
345,-0.630,-0.025
346,-0.670,-0.045
347,-0.710,-0.040
348,-0.750,-0.055
349,-0.810,-0.085
350,-0.870,-0.110
351,-0.905,-0.130
352,-0.920,-0.150
353,-0.925,-0.195
354,-0.930,-0.260
355,-0.935,-0.295
356,-0.945,-0.335
357,-0.935,-0.340
358,-0.915,-0.355
359,-0.905,-0.395
360,-0.895,-0.440
361,-0.905,-0.470
362,-0.910,-0.510
363,-0.880,-0.525
364,-0.865,-0.545
365,-0.840,-0.580
366,-0.800,-0.625
367,-0.750,-0.650
368,-0.705,-0.670
369,-0.660,-0.635
370,-0.610,-0.600
371,-0.565,-0.570
372,-0.520,-0.535
373,-0.480,-0.505
374,-0.455,-0.445
375,-0.405,-0.380
376,-0.385,-0.330
377,-0.350,-0.270
378,-0.330,-0.225
379,-0.325,-0.180
380,-0.325,-0.150
381,-0.320,-0.100
382,-0.295,-0.065
383,-0.285,-0.040
384,-0.275,-0.005
385,-0.265,-0.010
386,-0.260,0.005
387,-0.255,0.030
388,-0.260,0.055
389,-0.270,0.080
390,-0.260,0.085
391,-0.265,0.090
392,-0.265,0.120
393,-0.265,0.145
394,-0.245,0.180
395,-0.230,0.210
396,-0.200,0.220
397,-0.200,0.230
398,-0.200,0.250
399,-0.185,0.280
400,-0.175,0.305
401,-0.155,0.305
402,-0.160,0.305
403,-0.145,0.315
404,-0.150,0.300
405,-0.145,0.310
406,-0.135,0.320
407,-0.130,0.325
408,-0.125,0.335
409,-0.125,0.325
410,-0.135,0.320
411,-0.125,0.325
412,-0.120,0.345
413,-0.105,0.345
414,-0.105,0.345
415,-0.110,0.335
416,-0.115,0.335
417,-0.110,0.355
418,-0.095,0.375
419,-0.090,0.370
420,-0.090,0.375
421,-0.090,0.365
422,-0.095,0.370
423,-0.100,0.370
424,-0.085,0.380
425,-0.065,0.390
426,-0.070,0.385
427,-0.095,0.380
428,-0.080,0.385
429,-0.085,0.395
430,-0.080,0.410
431,-0.060,0.405
432,-0.050,0.405
433,-0.070,0.400
434,-0.070,0.405
435,-0.070,0.420
436,-0.060,0.430
437,-0.045,0.440
438,-0.055,0.435
439,-0.055,0.435
440,-0.055,0.435
441,-0.050,0.460
442,-0.045,0.465
443,-0.025,0.470
444,-0.030,0.475
445,-0.030,0.465
446,-0.050,0.475
447,-0.040,0.485
448,-0.030,0.500
449,-0.005,0.505
450,0.000,0.505
451,-0.005,0.500
452,-0.020,0.500
453,-0.015,0.515
454,0.000,0.525
455,0.010,0.525
456,0.005,0.525
457,0.010,0.525
458,0.000,0.520
459,-0.005,0.535
460,0.015,0.540
461,0.015,0.550
462,0.015,0.545
463,0.005,0.540
464,0.000,0.535
465,-0.005,0.540
466,-0.005,0.540
467,0.005,0.540
468,0.000,0.530
469,-0.015,0.520
470,-0.030,0.510
471,-0.035,0.515
472,-0.035,0.520
473,-0.035,0.505
474,-0.040,0.500
475,-0.060,0.480
476,-0.080,0.470
477,-0.080,0.470
478,-0.080,0.470
479,-0.075,0.460
480,-0.090,0.455
481,-0.100,0.435
482,-0.120,0.425
483,-0.120,0.415
484,-0.115,0.415
485,-0.115,0.410
486,-0.125,0.390
487,-0.145,0.375
488,-0.160,0.355
489,-0.160,0.365
490,-0.150,0.370
491,-0.160,0.355
492,-0.155,0.355
493,-0.170,0.335
494,-0.175,0.315
495,-0.175,0.315
496,-0.180,0.335
497,-0.175,0.330
498,-0.175,0.315
499,-0.185,0.295
500,-0.200,0.290
501,-0.210,0.300
502,-0.190,0.305
503,-0.190,0.305
504,-0.190,0.295
505,-0.195,0.280
506,-0.215,0.260
507,-0.215,0.280
508,-0.200,0.275
509,-0.195,0.275
510,-0.205,0.280
511,-0.220,0.250
512,-0.235,0.240
513,-0.220,0.265
514,-0.215,0.270
515,-0.205,0.270
516,-0.210,0.250
517,-0.225,0.240
518,-0.235,0.225
519,-0.240,0.260
520,-0.230,0.260
521,-0.225,0.270
522,-0.230,0.260
523,-0.245,0.240
524,-0.235,0.240
525,-0.245,0.245
526,-0.235,0.245
527,-0.235,0.255
528,-0.230,0.250
529,-0.240,0.235
530,-0.260,0.240
531,-0.260,0.245
532,-0.260,0.250
533,-0.250,0.250
534,-0.265,0.255
535,-0.270,0.235
536,-0.280,0.240
537,-0.265,0.235
538,-0.260,0.250
539,-0.255,0.245
540,-0.265,0.240
541,-0.275,0.230
542,-0.285,0.220
543,-0.285,0.230
544,-0.275,0.240
545,-0.265,0.230
546,-0.270,0.230
547,-0.275,0.230
548,-0.290,0.210
549,-0.285,0.230
550,-0.290,0.230
551,-0.275,0.235
552,-0.270,0.225
553,-0.285,0.200
554,-0.310,0.200
555,-0.305,0.210
556,-0.310,0.230
557,-0.295,0.210
558,-0.295,0.220
559,-0.295,0.205
560,-0.310,0.195
561,-0.305,0.195
562,-0.300,0.205
563,-0.295,0.205
564,-0.300,0.190
565,-0.315,0.190
566,-0.320,0.190
567,-0.310,0.185
568,-0.305,0.200
569,-0.305,0.190
570,-0.315,0.195
571,-0.320,0.185
572,-0.335,0.175
573,-0.325,0.185
574,-0.315,0.195
575,-0.315,0.195
576,-0.305,0.195
577,-0.315,0.185
578,-0.320,0.175
579,-0.320,0.180
580,-0.310,0.195
581,-0.310,0.190
582,-0.325,0.190
583,-0.315,0.175
584,-0.320,0.165
585,-0.320,0.185
586,-0.330,0.185
587,-0.310,0.180
588,-0.305,0.180
589,-0.320,0.170
590,-0.325,0.175
591,-0.320,0.170
592,-0.310,0.175
593,-0.305,0.180
594,-0.315,0.175
595,-0.325,0.160
596,-0.330,0.155
597,-0.320,0.175
598,-0.310,0.180
599,-0.305,0.175
600,-0.295,0.175
601,-0.295,0.170
602,-0.305,0.170
603,-0.300,0.175
604,-0.275,0.180
605,-0.270,0.185
606,-0.270,0.185
607,-0.260,0.185
608,-0.240,0.195
609,-0.165,0.200
610,-0.005,0.240
611,0.320,0.280
612,0.770,0.415
613,0.905,0.705
614,0.565,0.965
615,0.160,0.905
616,-0.015,0.645
617,-0.005,0.445
618,0.015,0.390
619,-0.025,0.365
620,-0.075,0.345
621,-0.085,0.330
622,-0.085,0.315
623,-0.080,0.305
624,-0.085,0.290
625,-0.080,0.255
626,-0.095,0.235
627,-0.105,0.210
628,-0.110,0.180
629,-0.130,0.160
630,-0.145,0.120
631,-0.185,0.090
632,-0.195,0.075
633,-0.210,0.065
634,-0.235,0.060
635,-0.265,0.030
636,-0.305,0.010
637,-0.360,-0.015
638,-0.410,-0.040
639,-0.460,-0.050
640,-0.510,-0.065
641,-0.595,-0.095
642,-0.695,-0.110
643,-0.765,-0.125
644,-0.830,-0.145
645,-0.865,-0.155
646,-0.920,-0.150
647,-0.965,-0.170
648,-0.995,-0.195
649,-1.015,-0.235
650,-1.045,-0.290
651,-1.050,-0.325
652,-1.035,-0.365
653,-1.025,-0.395
654,-1.045,-0.400
655,-1.045,-0.450
656,-1.040,-0.480
657,-1.020,-0.515
658,-1.005,-0.545
659,-0.970,-0.580
660,-0.930,-0.595
661,-0.910,-0.640
662,-0.870,-0.670
663,-0.805,-0.680
664,-0.735,-0.670
665,-0.685,-0.640
666,-0.630,-0.605
667,-0.585,-0.555
668,-0.545,-0.505
669,-0.495,-0.430
670,-0.460,-0.360
671,-0.425,-0.295
672,-0.400,-0.235
673,-0.385,-0.185
674,-0.385,-0.135
675,-0.375,-0.085
676,-0.345,-0.045
677,-0.335,0.000
678,-0.315,0.015
679,-0.310,0.030
680,-0.325,0.045
681,-0.310,0.075
682,-0.295,0.090
683,-0.285,0.110
684,-0.290,0.105
685,-0.285,0.120
686,-0.280,0.155
687,-0.270,0.190
688,-0.225,0.220
689,-0.185,0.235
690,-0.180,0.260
691,-0.175,0.270
692,-0.175,0.285
693,-0.170,0.300
694,-0.135,0.315
695,-0.110,0.305
696,-0.090,0.320
697,-0.080,0.305
698,-0.085,0.310
699,-0.060,0.325
700,-0.065,0.355
701,-0.070,0.350
702,-0.080,0.345
703,-0.095,0.330
704,-0.105,0.320
705,-0.100,0.335
706,-0.105,0.350
707,-0.090,0.355
708,-0.090,0.355
709,-0.095,0.345
710,-0.100,0.340
711,-0.100,0.345
712,-0.080,0.370
713,-0.070,0.370
714,-0.075,0.375
715,-0.090,0.375
716,-0.100,0.365
717,-0.095,0.370
718,-0.085,0.385
719,-0.060,0.395
720,-0.050,0.395
721,-0.060,0.395
722,-0.055,0.395
723,-0.040,0.400
724,-0.030,0.425
725,-0.020,0.425
726,-0.015,0.430
727,-0.040,0.430
728,-0.050,0.425
729,-0.045,0.440
730,-0.030,0.460
731,-0.005,0.475
732,-0.005,0.470
733,-0.025,0.455
734,-0.030,0.470
735,-0.005,0.485
736,0.000,0.500
737,0.000,0.505
738,0.015,0.500
739,0.010,0.495
740,-0.005,0.515
741,0.020,0.515
742,0.030,0.545
743,0.030,0.550
744,0.060,0.535
745,0.065,0.530
746,0.030,0.530
747,0.045,0.545
748,0.055,0.550
749,0.050,0.555
750,0.050,0.550
751,0.045,0.530
752,0.025,0.530
753,0.030,0.540
754,0.035,0.540
755,0.035,0.545
756,0.030,0.540
757,0.010,0.520
758,0.000,0.505
759,-0.015,0.505
760,0.005,0.525
761,-0.005,0.505
762,-0.020,0.480
763,-0.030,0.470
764,-0.055,0.460
765,-0.050,0.460
766,-0.065,0.460
767,-0.070,0.435
768,-0.095,0.440
769,-0.110,0.410
770,-0.125,0.400
771,-0.120,0.395
772,-0.130,0.400
773,-0.110,0.395
774,-0.115,0.370
775,-0.125,0.350
776,-0.155,0.350
777,-0.160,0.340
778,-0.170,0.340
779,-0.175,0.330
780,-0.180,0.325
781,-0.190,0.300
782,-0.200,0.295
783,-0.205,0.295
784,-0.195,0.295
785,-0.190,0.285
786,-0.190,0.265
787,-0.200,0.260
788,-0.200,0.265
789,-0.205,0.255
790,-0.205,0.260
791,-0.190,0.255
792,-0.200,0.245
793,-0.195,0.225
794,-0.210,0.215
795,-0.225,0.220
796,-0.225,0.235
797,-0.220,0.220
798,-0.225,0.210
799,-0.265,0.200
800,-0.270,0.190
801,-0.255,0.200
802,-0.240,0.215
803,-0.235,0.220
804,-0.245,0.205
805,-0.250,0.195
806,-0.265,0.195
807,-0.260,0.195
808,-0.275,0.200
809,-0.265,0.205
810,-0.255,0.190
811,-0.255,0.180
812,-0.275,0.175
813,-0.255,0.195
814,-0.255,0.200
815,-0.260,0.195
816,-0.260,0.195
817,-0.270,0.190
818,-0.270,0.185
819,-0.270,0.185
820,-0.260,0.200
821,-0.265,0.195
822,-0.275,0.195
823,-0.280,0.180
824,-0.300,0.175
825,-0.290,0.180
826,-0.290,0.190
827,-0.285,0.190
828,-0.285,0.185
829,-0.300,0.185
830,-0.320,0.170
831,-0.295,0.175
832,-0.290,0.195
833,-0.290,0.190
834,-0.300,0.175
835,-0.315,0.165
836,-0.320,0.160
837,-0.315,0.165
838,-0.310,0.175
839,-0.305,0.175
840,-0.305,0.170
841,-0.320,0.160
842,-0.320,0.145
843,-0.320,0.145
844,-0.305,0.160
845,-0.300,0.165
846,-0.305,0.165
847,-0.315,0.145
848,-0.320,0.135
849,-0.325,0.155
850,-0.335,0.160
851,-0.330,0.145
852,-0.330,0.145
853,-0.320,0.130
854,-0.330,0.130
855,-0.330,0.140
856,-0.315,0.140
857,-0.325,0.135
858,-0.325,0.135
859,-0.330,0.115
860,-0.335,0.115
861,-0.325,0.130
862,-0.315,0.135
863,-0.310,0.135
864,-0.315,0.135
865,-0.325,0.120
866,-0.345,0.120
867,-0.350,0.120
868,-0.340,0.135
869,-0.330,0.125
870,-0.325,0.135
871,-0.325,0.110
872,-0.330,0.105
873,-0.340,0.120
874,-0.335,0.135
875,-0.325,0.130
876,-0.325,0.130
877,-0.325,0.120
878,-0.335,0.115
879,-0.340,0.125
880,-0.330,0.125
881,-0.320,0.120
882,-0.310,0.120
883,-0.320,0.110
884,-0.335,0.115
885,-0.330,0.115
886,-0.320,0.115
887,-0.315,0.125
888,-0.290,0.130
889,-0.310,0.120
890,-0.315,0.120
891,-0.300,0.125
892,-0.280,0.135
893,-0.270,0.135
894,-0.255,0.125
895,-0.225,0.130
896,-0.165,0.150
897,0.020,0.170
898,0.445,0.230
899,0.800,0.470
900,0.660,0.815
901,0.245,0.835
902,-0.020,0.560
903,-0.055,0.355
904,-0.015,0.320
905,0.000,0.320
906,-0.030,0.295
907,-0.050,0.260
908,-0.080,0.235
909,-0.080,0.240
910,-0.070,0.240
911,-0.050,0.220
912,-0.065,0.185
913,-0.070,0.155
914,-0.095,0.105
915,-0.095,0.080
916,-0.105,0.075
917,-0.105,0.055
918,-0.100,0.030
919,-0.140,0.005
920,-0.175,-0.015
921,-0.210,-0.025
922,-0.245,-0.030
923,-0.280,-0.060
924,-0.325,-0.090
925,-0.385,-0.120
926,-0.475,-0.135
927,-0.565,-0.145
928,-0.650,-0.145
929,-0.700,-0.160
930,-0.750,-0.170
931,-0.825,-0.200
932,-0.895,-0.210
933,-0.945,-0.230
934,-0.970,-0.250
935,-0.990,-0.305
936,-0.995,-0.350
937,-1.010,-0.405
938,-1.035,-0.430
939,-1.030,-0.440
940,-1.040,-0.455
941,-1.005,-0.485
942,-1.010,-0.530
943,-0.990,-0.560
944,-0.985,-0.590
945,-0.950,-0.615
946,-0.895,-0.635
947,-0.830,-0.670
948,-0.755,-0.680
949,-0.725,-0.670
950,-0.685,-0.640
951,-0.635,-0.590
952,-0.560,-0.540
953,-0.515,-0.480
954,-0.455,-0.430
955,-0.440,-0.375
956,-0.415,-0.315
957,-0.390,-0.245
958,-0.365,-0.185
959,-0.345,-0.150
960,-0.340,-0.110
961,-0.325,-0.080
962,-0.330,-0.065
963,-0.300,-0.030
964,-0.305,0.005
965,-0.295,0.020
966,-0.290,0.030
967,-0.305,0.030
968,-0.315,0.035
969,-0.310,0.075
970,-0.300,0.100
971,-0.290,0.120
972,-0.270,0.130
973,-0.255,0.150
974,-0.250,0.175
975,-0.220,0.195
976,-0.215,0.230
977,-0.200,0.240
978,-0.190,0.245
979,-0.175,0.235
980,-0.195,0.235
981,-0.170,0.240
982,-0.165,0.255
983,-0.160,0.270
984,-0.150,0.260
985,-0.165,0.245
986,-0.165,0.255
987,-0.150,0.255
988,-0.145,0.285
989,-0.135,0.280
990,-0.140,0.275
991,-0.135,0.270
992,-0.150,0.275
993,-0.135,0.285
994,-0.110,0.300
995,-0.110,0.295
996,-0.105,0.300
997,-0.110,0.280
998,-0.125,0.285
999,-0.105,0.320
1000,-0.100,0.320
1001,-0.095,0.320
1002,-0.100,0.320
1003,-0.110,0.315
1004,-0.105,0.325
1005,-0.100,0.335
1006,-0.085,0.345
1007,-0.070,0.345
1008,-0.080,0.340
1009,-0.085,0.350
1010,-0.080,0.365
1011,-0.070,0.390
1012,-0.050,0.390
1013,-0.045,0.400
1014,-0.060,0.395
1015,-0.060,0.395
1016,-0.070,0.415
1017,-0.050,0.435
1018,-0.035,0.435
1019,-0.035,0.445
1020,-0.040,0.435
1021,-0.055,0.440
1022,-0.035,0.460
1023,-0.030,0.475
1024,-0.015,0.475
1025,-0.005,0.470
1026,-0.005,0.460
1027,-0.005,0.455
1028,0.005,0.465
1029,0.015,0.480
1030,0.025,0.475
1031,0.040,0.485
1032,0.025,0.470
1033,0.025,0.470
1034,0.040,0.480
1035,0.050,0.485
1036,0.065,0.485
1037,0.070,0.485
1038,0.070,0.480
1039,0.065,0.475
1040,0.070,0.485
1041,0.085,0.485
1042,0.100,0.490
1043,0.110,0.485
1044,0.100,0.470
1045,0.080,0.480
1046,0.085,0.475
1047,0.075,0.480
1048,0.060,0.470
1049,0.035,0.445
1050,0.015,0.430
1051,0.000,0.425
1052,-0.010,0.415
1053,-0.005,0.425
1054,-0.020,0.410
1055,-0.030,0.395
1056,-0.050,0.375
1057,-0.080,0.370
1058,-0.085,0.355
1059,-0.080,0.350
1060,-0.065,0.355
1061,-0.080,0.330
1062,-0.095,0.315
1063,-0.105,0.305
1064,-0.115,0.305
1065,-0.110,0.315
1066,-0.110,0.290
1067,-0.120,0.285
1068,-0.125,0.275
1069,-0.145,0.250
1070,-0.140,0.255
1071,-0.135,0.260
1072,-0.135,0.255
1073,-0.140,0.235
1074,-0.155,0.240
1075,-0.170,0.210
1076,-0.165,0.220
1077,-0.150,0.225
1078,-0.150,0.220
1079,-0.170,0.205
1080,-0.175,0.195
1081,-0.175,0.185
1082,-0.175,0.190
1083,-0.170,0.205
1084,-0.170,0.185
1085,-0.165,0.185
1086,-0.165,0.170
1087,-0.190,0.160
1088,-0.190,0.175
1089,-0.190,0.185
1090,-0.175,0.180
1091,-0.175,0.160
1092,-0.190,0.155
1093,-0.200,0.155
1094,-0.190,0.155
1095,-0.190,0.165
1096,-0.195,0.175
1097,-0.195,0.175
1098,-0.205,0.155
1099,-0.210,0.145
1100,-0.195,0.155
1101,-0.200,0.170
1102,-0.180,0.155
1103,-0.185,0.155
1104,-0.190,0.145
1105,-0.200,0.150
1106,-0.200,0.155
1107,-0.200,0.155
1108,-0.185,0.150
1109,-0.210,0.140
1110,-0.210,0.135
1111,-0.215,0.130
1112,-0.210,0.140
1113,-0.210,0.145
1114,-0.210,0.150
1115,-0.215,0.140
1116,-0.210,0.125
1117,-0.240,0.135
1118,-0.230,0.145
1119,-0.215,0.155
1120,-0.215,0.160
1121,-0.220,0.145
1122,-0.230,0.140
1123,-0.240,0.125
1124,-0.240,0.140
1125,-0.240,0.140
1126,-0.225,0.140
1127,-0.225,0.135
1128,-0.240,0.125
1129,-0.245,0.115
1130,-0.245,0.135
1131,-0.245,0.140
1132,-0.240,0.120
1133,-0.240,0.120
1134,-0.255,0.115
1135,-0.255,0.120
1136,-0.255,0.125
1137,-0.250,0.120
1138,-0.240,0.110
1139,-0.240,0.110
1140,-0.250,0.100
1141,-0.255,0.095
1142,-0.260,0.105
1143,-0.245,0.115
1144,-0.245,0.120
1145,-0.255,0.110
1146,-0.265,0.095
1147,-0.265,0.090
1148,-0.265,0.105
1149,-0.260,0.115
1150,-0.255,0.115
1151,-0.250,0.110
1152,-0.260,0.100
1153,-0.285,0.095
1154,-0.270,0.110
1155,-0.265,0.105
1156,-0.270,0.110
1157,-0.260,0.105
1158,-0.270,0.095
1159,-0.275,0.090
1160,-0.275,0.095
1161,-0.260,0.100
1162,-0.260,0.100
1163,-0.265,0.100
1164,-0.270,0.085
1165,-0.275,0.090
1166,-0.270,0.085
1167,-0.275,0.105
1168,-0.260,0.110
1169,-0.260,0.100
1170,-0.275,0.090
1171,-0.280,0.095
1172,-0.280,0.100
1173,-0.265,0.100
1174,-0.255,0.115
1175,-0.250,0.100
1176,-0.260,0.095
1177,-0.260,0.095
1178,-0.255,0.095
1179,-0.240,0.120
1180,-0.215,0.115
1181,-0.195,0.110
1182,-0.150,0.115
1183,-0.040,0.125
1184,0.310,0.155
1185,0.790,0.285
1186,0.880,0.630
1187,0.480,0.825
1188,0.095,0.625
1189,-0.025,0.385
1190,0.005,0.290
1191,0.025,0.290
1192,0.025,0.290
1193,0.000,0.255
1194,-0.035,0.230
1195,-0.050,0.220
1196,-0.045,0.210
1197,-0.045,0.205
1198,-0.040,0.170
1199,-0.050,0.135
1200,-0.085,0.095
1201,-0.095,0.075
1202,-0.110,0.060
1203,-0.120,0.045
1204,-0.130,0.035
1205,-0.160,0.010
1206,-0.215,-0.025
1207,-0.270,-0.030
1208,-0.315,-0.055
1209,-0.345,-0.065
1210,-0.400,-0.090
1211,-0.475,-0.120
1212,-0.570,-0.140
1213,-0.660,-0.145
1214,-0.720,-0.145
1215,-0.765,-0.155
1216,-0.820,-0.165
1217,-0.885,-0.195
1218,-0.945,-0.250
1219,-0.975,-0.310
1220,-0.985,-0.360
1221,-1.005,-0.390
1222,-0.990,-0.440
1223,-1.000,-0.470
1224,-1.005,-0.515
1225,-1.015,-0.565
1226,-1.005,-0.595
1227,-0.990,-0.640
1228,-0.960,-0.680
1229,-0.930,-0.705
1230,-0.895,-0.755
1231,-0.840,-0.765
1232,-0.775,-0.755
1233,-0.705,-0.725
1234,-0.650,-0.690
1235,-0.590,-0.660
1236,-0.550,-0.615
1237,-0.510,-0.560
1238,-0.475,-0.490
1239,-0.430,-0.425
1240,-0.395,-0.365
1241,-0.375,-0.315
1242,-0.370,-0.275
